sentence,sentiment
Malam minggu nonton konsernya Afgan serasa ga jomblo (at Kecamatan Gondang) ? https://path.com/p/1jlado ,1
"kalo dia beneran sayang, dia gak akan pergi meninggalkan. apapun alasannya. :)",1
#KonserDariHati abang ganteng @afgansyah_reza ??? ? Terima Kasih Cinta by Afgan ? https://path.com/p/6zN6L ,1
"pelayanan ramah, ac dingin, tapi kesel nya ketika reservasi saya tidak terdaftar di hotel tsb, dan tv hotel yg remotnya tak berfungsi. ditambah penjaga kantin yang tidak memberikan kembalian tnpa berbicara apapun",1
"Aku lagi ngecilin baju HS nih.. kegedean bgt, jadi aku kecilin sndiri aja pake jaitan tangan.. biar hemat dikit wkwk ",1
"Secara keseluruhan tempat nyaman. parkirn juga aman. AC, Wifii, dan air mandi juga lancar. Cuma rada kecewa sama lantai kamarnya bukan keramik dan kamar mandi sdikit kotor di langit2nya. Secara overal klo untuk tinggal sih okee lah",1
Pergi sekolah nak amek result. DAPAT STRAIGHT A! AL AL AL AL ALHAMDULILLAH HIRABILALAMIN! ?,1
Burung-burung gagak membeir hadiah setelah seorang perempuan memberi mereka makan. http://bbc.in/17ABkpE  ,1
"Sekarang waktunya yang sekolah,ujian,kerja ayo lanjutkan aktivitas lagi. Semangat ya :)",1
Antara #tekno | Facebook keluarkan fitur baru untuk cegah bunuh diri http://bit.ly/1BEwGEO  | http://goo.gl/16Qox ,1
"Untuk kebersihan sudah lumayan, AC lumayan dingin tidak seperti pertama kali saya book kamar disini. Sprei juga baru dan bersih, mungkin cuma selimutnya saja yg perlu diganti karna sudah agak buras. Untuk barang dikamar seperti meja atau kelengkapan lain masih agak berdebu dan nampak seperti hotel tua karna perabotnya kelihatan rapuh.",1
#FunFact Moment paling mengharukan saat satu per satu orang terdekat afgan menyerahkan bouquet flowers di #KonserDariHatiAfgan minggu lalu ?,1
"Pilkada Serentak, PDIP tak Mau Andalkan Jokowi http://m.jpnn.com/news.php?id=288614 ? #JPNN #pilkada",1
Antara #tekno | Petani Sungayang kembangkan padi Salibu http://bit.ly/1LPFc3b  | http://goo.gl/16Qox ,1
"Yey ksampean bkin baju GOT7-Yugyeom smpe aksesoris2 nya haha, see you at @kss_event free HTM, lagi ?? ",1
Namun kau takkan sendiri Ku ada di sini Untukmu aku akan bertahan Dalam gelap? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/36fGA4 ,1
"jangan keseringan pergi ke masa lalu, agar saat masa depan mengetuk pintumu, kau hadir disana untuk menyambutnya",1
DAHSYAT RCTI  LIVE with papsee @RaffiAhmadLagi  Si ganteng yg mirip PitBull haha ?,1
"#B ahagia itu sederhana, ketika hp penuh notif dari doi yang isinya selalu buat senyum senyum sendiri<3 -upit",1
"Menurut hasil penelitian di USA, menepuk dahi selama 30 detik akan mengurangi keinginan untuk makan.",1
Ingin Wajah Mulus Bebas Kerutan? Makan Saja Cokelat Enak Ini http://tinyurl.com/p8f2urb  via @detikfood ,1
"Makan buah pepaya dapat membantu mengatasi Acid Reflux, kondisi dimana asam lambung naik hingga kerongkongan.",1
Sayang anak sayang anak ^^ RT @infobdgFJB: Grosir Baju Anak murah cuma di @freshlife_baby. ,1
"awalnya sy mendapat kamar yg AC nya ga berfungsi dingin. Dan saya komplain ke receptionist, lalu sy dipindahkan ke kamar yg lebih bagus. kamarnya yg baru itu nyaman, bersih, ada cahaya matahari yg buat segar, ada snack, air mineral, peralatan mandi, dsb. saya puas 👍",1
Di Finlandia tidak ada sistem ranking di Sekolah. Mereka percaya bahwa semua murid itu seharusnya ranking 1.,1
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Ikke Putri buat video klip dangdut di Bali http://bit.ly/18aTJuf ",1
"She is precious gift from Allah. Hargai dia sebelum dia pergi. Siapa? ""Your mom.""",1
"#Narasa_nganga :D #hahahaha ? menikmati Somay+Ice Cream+dll di Lapangan Vatulemo, Depan Kantor Walikota Palu. http://fb.me/3hhQPHaXa ",1
Sekretaris Fraksi Demokrat :Keputusan Jokowi Memberikan Kepastian http://kriminalitas.com/news/detail/3260 ?,1
"Proses check in cepat, kamar bersih dan luas,setup airy kurang : snack cuma dibungkus plastik tanpa kotak biru khas airy, bed cover strip biru khas airy tidak ada. Jendela rusak tidsk bisa dikunci, keran wastafel rusak mohon diperbaiki hotel.",1
"..3) Sebelum menandatangani kontrak kerja, pastikan km mmg orang yg teliti spt yg km katakan, jika km mau sukses di kantor tsb #IstilahLoker",1
"Meski gak ikut andil mempertemukan mrk, trnyata si lukisan berjodoh sama Afgan. ? ""Jodoh pasti bertemuu.. Huwoo.."" :D ",1
"Kalo kamu Cinta sama #Taurus , pertahankan dia, karena sekali dia pergi, dia tak akan kembali",1
Tempat nyaman & Receptionist ramah. Hanya saat tengah malam ada tamu telpon didepan receptionist dg pintu pembatas ruangan dibiarkan terbuka oleh petugas malam yg berperawakan kurus shg suara terdengar di kanar. Secara keseluruhan baik.,1
"Menuju pintu msk Soundwave Fest memakai baju dari band lejen..siap"" se hari penuh telinga dibuai oleh? https://instagram.com/p/zoe2kXh7yc/ ",1
Katakan tdk pd selingkuh... Katakan tdk pd mendua... Katakan tdk pd semua... Yang? ? Katakan Tidak by Afgan ? https://path.com/p/1QIWmE ,1
Syahnaz sayang aaraffi? sehat-sehat yagan teng ? @RaffiAhmadLagi ,1
Walau berat jalannya tapi aku bahagia.  Aku disini berdiri karena cinta? ? Semua Karena Cinta by Syahrini ? https://path.com/p/1ImgtW ,1
"#faktasahabat  dia yang rela telat pulang sekolah cuma buat gosip , curhat dan ngobrolin yang gak jelas",1
Tips ganti baju di outdoor utk para cewe2 :)) http://wp.me/p4yuw9-8i ,1
"""@S_AngelJKT48: Tdii aku HandShake pakai baju inii ...hihihii ,akuu sukaa pake baju inii !! Lucu sekali ?? ... """,1
Bahasa Indonesia menjadi salah satu pelajaran utama di setiap sekolah di Australia.,1
Sok sok romantis yakan. Nontonnya afgan ? Demi Kamu dan Aku by Afgan ? https://path.com/p/FfRlM ,1
"""Orang makan yg bersyukur setara dengan orang berpuasa yg bersabar."" (HR Bukhari)",1
cie yang marahan taunya lgsg baikan berpelukan pula ahayde @bangbily @raffiahmadlagi @realsyahnazs,1
Kamar bersih tapi toilet banyak cacingnya,1
"Sahabat itu selama apapun lo minta ditungguin, dia bakal ngeluh tp dia gabakal pergi ninggalin lo.",1
Aksi Jakarta Bersih dimulai 3 Pebruari 2013 @ks_PDIP_Projo @MohammadMakruf @ridwankamil #AksiJakartaBersih #gerakanpungutsampah,1
"Nonton re-run nya konser dari hatinya afgan dr rumah...  Hebat kaaan... gak? (w/ nuii, Anggun, & 2 others) ? https://path.com/p/1mNKA3 ",1
Purwakarta Miliki Kantor Kecamatan Termegah di Jawa Barat - http://SINDOnews.com  http://goo.gl/fb/zPZKjK  #Purwakarta,1
Daftar Mobil Indonesia Paling Ekonomis #JktOtomotif http://ow.ly/JuEGe ,1
"Pak Abu tak kisah pun baju ni warna apa. Yang penting, kamu hendaklah tahu membezakan warna-warna tong kitar semula. ",1
? RT @kiehlsID: Coba deh taruh pot tanaman di sekitar meja kantor. Gak cuma mempercantik ... http://m.tmi.me/1eZxz8 ,1
Gue baru denger sekali ini tapi keren banget afgannya minta di jadiin suami ? ? Knock Me Out by Afgan ? https://path.com/p/3RNg6O ,1
"Udah lengkap ber6, pake koreo kek SMASH 2010, pake baju couple pula.. wuihh, hati SB jedaarrr jedaarrr :v #SMASHatGFIdolJunior",1
'tidak ada manusia yang sempurna tetapi cinta yang membuat kesempurnaan menjadi? ? Untukmu Aku Bertahan by Afgan ? https://path.com/p/2F1Ird ,1
Ich liebe dich??? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina (with @YoghiPW) ? https://path.com/p/4v6oal ,1
#Golkar #ARB Surabaya mestinya pertama larang minuman beralkohol http://bit.ly/1vSeujh ,1
"""Doa ibubapa itu lebih kuat dan mustajab, hargailah sementara mereka masih ada."" Ingat, mreka akan pergi tak lama lagi.",1
Demokrat nilai Jokowi beri bukti bukan janji http://wp.me/p4M2r4-9MY ,1
2 bulan Afgan off dari job nyanyi buat nyiapin konser tunggalnya. Ga heran kalo hasilnya seperfect itu ?,1
"fasilitas di dalam kamar melebih ekspektasi dengan harga dibawah seratus ribu. TV, AC, wifi kenceng, dapat sncak pula.minusnya kamar mandi tidak dibersihkan jd ada kerak2 coklat di lantai dan dinding kamar mandi dan bau tidak sedap tercium dari saluran air di kamar mandi.lokasi agak masuk dari jalan raya,tp masih accessible.kemungkinan besar balik lagi apabila ada keperluan di sby.",1
"U/ pelayanan airy mantap, ada free snack box di kamar. U/ hotel kecil, pengap. Butuh pengharum ruangan agar sedikit segar. Lainnya bagus❤️",1
Haihailohaa selamat pagi! Semangat ya hari ini! Have a blessed day.. Lagi dijalan mo ke sekolah! Hahaha jgn lupa sarapan yes ?,1
"RT @DMCDompetDhuafa: Persiapan sekolah ceria dampingi anak korban #kebakaran Rawa Buaya, Jakarta Barat.@Dompet_Dhuafa http://twitter.com/DMCDompetDhuafa/status/570856561414791168/photo/1pic.twitter.com/g0Q6kfIiFl ",1
"4. Masing2 partai itu memiliki figur dominan bak pemegang saham. Di PDIP ada Megawati, di Demokrat ada SBY, dan di Partai Hanura ada Wiranto",1
Ada saatnya dimana kita harus merelakan sesuatu yang kita sayang untuk pergi.. Ya emang sakit! Tapi itu demi kebaikan diri kita sendiri. :),1
kami dapat menyembuhkan penyakit pria http://www.klinikwienarto.com  (0291)3332855 / HP. 08122893709 / PIN 29E22f2f ,1
GOLLLL!!! Makan Konate Persib 2 Vs 0 New Radiant #PersibDay,1
Tapi nampaknya Demokrat akan menang di US. Obama sukses dong?,1
"Persahabatan bukan berarti tak terpisahkan. Sahabat pasti datang dan pergi. Namun meski terpisah, tak ada yang berubah.#NH",1
Di kala lara pergi lah keluar. Semesta seketika itupun akan menghiburmu. Buka mata. Lihat sekitar. Banyak kesenangan diluar sana. ??,1
#TEAMFOLLOWBACK #TFB #alrasyid448ItuRasya Demokrat niai keputusan presiden beri? http://dlvr.it/8dTMlm  ROH3 SmantiBatam #JFB #AutoFollow,1
Buat apalah susah cari kesana kesini sudah didepan mata? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/1IctLX ,1
"Tweeps, ingin tahu manfaat yang bisa Anda dapatkan saat makan ubi jalar? Baca artikelnya di sini -> http://bit.ly/1xTW0lS ",1
Berikut Ini 12 Kategori Mobil Terbaik di 2015 http://dlvr.it/8lsjCt  ,1
HWD deary and Momo....  semoga jd keluarga sakinah mawadah? (w/ Deary at Gedung Golkar Jl.Maskumambang Bandung) ? https://path.com/p/4lfiQe ,1
"wifi kenceng, kamar luas, ac bagus, tp kamar mandi agak kotor, makanannya enak dan harga terjangkau, tempat makan juga banyak sekitar hotel ,akses kemana -mana sekitar kota dekat,thanks airyroom👍",1
"kamar nyaman, bersih, aman. pelayanan sangat baik dan ramah. minus hanya AC lama dinginnya. all perfect",1
"Setiap yang pergi, Tuhan pasti menggantikannya dengan kebahagiaan yang baru. Entah apa.",1
"bersih dan nyaman, servis bagus.... tapi internet lemot. ",1
Karena kini kutlah jatuh cinta ? Pesan Cinta by Afgan ? https://path.com/p/2P6ibw ,1
Syukur dan ikhlas adalah kunci bahagia. Menghargai apa yg diterima dan merelakan apa yg harus pergi,1
"Selalu ada kekhawatiran terhadap cewek yg ditinggal pergi sama cowoknya, dalam hati ngomong ""Dia lagi apa ya? Sama siapa? jaga dia Tuhan"".",1
"Kemanapun #Pisces pergi atau jauh dari orang2 yang dia sayang, hatinya akan tetap dan tidak akan pindah ke lain hati.",1
"nyaman, bersih, tv aja yang kurang bagus ga ada yg bisa ditonton dgn jelas. ac dingin.",1
"Aku bersukacita, ketika dikatakan orang kepadaku: ""Mari kita pergi ke rumah TUHAN."" - Mazmur 122:1 #SelamatBeribadah",1
Janji Suci Raffi Dan Gigi 20 Februari 2015 Part 4 End - Raffi ahmad Bahagia & Terharu Banget Dapat: http://youtu.be/T_WwBC63-j8?a  via,1
Sejak kapan malam minggu harus pergi? Sejak aku sayang kamu.,1
Gigi ngelihat aa raffi dengan senyuman yg paling dalam  @Lady6igi @RaffiAhmadLagi,1
Bidang Perempuan Golkar Makassar Dibekali Ilmu Keprotokoleran : http://fajar.co.id/fajaronline-sulsel/2015/02/21/bidang-perempuan-golkar-makassar-dibekali-ilmu-keprotokoleran.html ?,1
"Ke mana sahaja ku pergi, ALLAH S.W.T. kan selalu di hati. . .kerana aku adalah hamba Nya. . . #johanarrif ",1
Terimakasih cinta untuk selaganya~?? ? Terima Kasih Cinta by Afgan (at @mymagnumid) ? https://path.com/p/1mODkc ,1
"15. Ali RA menjawab, ""Ya, aku memang memiliki baju besi, akan tetapi harganya tidak lebih dari empat ratus dirham.""",1
KEMERIAHAN MENYAMBUT HUT BASARNAS KE 43  DI KANTOR SAR JAMBI   Jambi ? Dalam rangka memeriahkan HUT Basarnas yang... http://fb.me/3PZrgytKB ,1
"saya kecewa banget dengan fasilitas di airy eco sawah besar kartini jakarta. semua fasilitas tersedia tapi tidak bisa dipakai semua contoh telpon yg didalam kamar tidak bis di gunkan , AC remot nya tidak ada jd tidak bisa atur suhu saat kedinginan , remot tv juga pas baru masuk kamar tidak tersedia .",0
Paling males pas bangun pagi siap2 ke sekolah. Apalagi kalo cuaca mendung atau gerimis #anakSMA,0
"#Taurus akan terus mempertahankan kamu sampai mereka merasa benar-benar lelah, lalu pergi dan tak akan mungkin kembali :')",0
"Yang me-festivalisasi akan di-festivalisasi ""@inilahdotcom: Selasa, Syahrini Diperiksa Polisi Terkait Samad http://bit.ly/1FLviBd """,0
"toilet kurabg bersih,tempat sampah kotor,perlengkapan mandi tidak ada,malahan ada sabun batangan bekas",0
"Kamarnya lucu, tapi pelayanannya kurang memuaskan.. Masih 1 jam dari jam 12 untuk chek out, tapi sudah diteriaki dari luar kamar..  Chek out, chek out  Walaupun mungkin bukan untuk saya, tetapi saya jadi tidak nyaman dengan perlakuan seperti itu.. 😰",0
kotor sekali,0
minus nya ac nya lama dingin nya,0
Otak w sakit ngeliat baju biru item tetiba jadi putih gold hhhhhh mata w kenapa ini,0
Sempat merasa kurang nyaman. resepsionis sering banget ngetokin kamar.,0
kamar mandi kotor. seprei dan sarung bantal kotor,0
Kantor DPRD Makassar Jadi Tempat Masak dan Tidur: Mereka makan dan tidur diselasar kantor. http://goo.gl/fb/bkhYfi ,0
"semangat nak kurus tiba tiba makan tak ingat dunia. bersabarlah, kita hanya mampu merancang hm :')",0
Pertama datang saya dikasih kamar yg buat berdua padahal saya memesan kamar yg untuk berempat dan tdk ada desain nya airyroom di kamar dan tdk dapat snack kalo tidak di komplain pokok nya kecewa menginap disini,0
"kamar nya terbilang bagus tapi sayang perawatan nya kurang, ac nya tidak dingin, disediakan kompor tapi tidak ada gas dan perlatan memasak dan tdk ada papan reklame airy di depan yg buat saya bingung cari lokasi nya sampai mutar2. terimakasih airy..",0
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",0
"Kamarnya gak sesuai dengan yg di tampilkan, acnya gk begitu dingin. ",0
"Jangan coba-coba pacaran sama cewek satu sekolah. Satu orang aja ribet, apa lagi kalo satu sekolah.",0
"sudah 2x menginap disini tapi kali ini dpt kamar yg kurang bersih, kloset jg ga begitu bersih, bedny terasa per nya, tempat sampah rusak, sampe showerpun agak macet airnya,, cuman pelayanan ttp ramah..",0
untuk seprai dan bed nya mungkin bisa di perbaiki lagi. terimakasih,0
"untuk kamar double no view, gak sesuai dgn yg digambar. air panas juga gak berfungsi",0
suara musik cafe terdengar sampai kamar air hangat kadang mengalir kadang tidak,0
"Biasa saja. Kamar tidak bersih, gelap, bau serangga, dan banyak nyamuk",0
Tingkatkan pelayanan di bidang kebersihan kamar. ,0
"pendekkalau gnteng yakin enggak mau?? ? Mau seganteng afgan kalo pendek ya bodo amat,tetep gamau eikeee http://ask.fm/a/bo7moif6 ",0
bagus bersih wifi lemot anduk bau itu saja yg d benahi selebihnya nyaman saja,0
"(+) kamar lumayan luas, kasur nyaman, sprei bersih, rapi dan aminities lengkap. ada welcome snack, dan kamar dibersihkan setiap hari. (-) bangunan dan hotel model lama, colokan hanya ada 1, siaran tv bnyak yg g da sinyal nya, pass wifi tdk diinfo, fo tidak ramah, sarapan tdk dihidang, ac kurang dingin n berisik",0
Snack tidak ada dikotak kosong. Air untuk mandi itu air apa? Asin. ,0
pertama masuk kamar lgsg pengen refund rasanya..  kamar mandi berkarat.  air bau karat.. wc berkarat jg.  dipan berdebu dan ada remah makanan. staf nya tdk profesional sprti penjaga kosan.  i'll never ever back here.  gak ssuai bgt sama gbrny.  hiks...  cuma stay kurang lbih 8 jam disni karena penerbangan pagi2 bgt. ,0
yg berkesan ukuran kamarnya besar. yg perlu diperbaikin saluran ke tanki closet pipanya rusak. service pelayanan lebih ditingkatkan..,0
"Loh, kata @maspiyungan ada yg eks.pengacara century? RT ""@kangdede78 Demokrat Protes - http://kom.ps/AFploc  @KISSMIYANTO @Vie_Kumalasari""",0
"@farhatabbaslaw baca nih @chirpstory: Dibaca ribuan kali:  Bambang Widjojanto: Mafia Pelindung Golkar & Korupsi   http://chirpstory.com/li/231453 ?""""",0
"tv kurang berfungsi dgn baik, over all good",0
"?@Tertua: Buat Keramaian di Tempat Umum, Syahrini Akui Tanpa Izin http://bit.ly/18ce5TC  ?",0
"untuk kali ini saya dapat kamar yang bau kencing, dan bantal airy yg warna biru juga itu terasa bau sehingga kurang nyaman jadinya.. sangat berbeda dari sebelumnya..",0
"kamar berdebu dan bau lembab, bikin badan gatel.  flush WC ga berfungsi, wastafel mampet, lampu ada yg ga bisa nyala, telepon hotel ga bisa, wifi gabisa. Tapi pelayanannya baik ramah, hanya ga di dukung sama fasilitas aja. Ga mau nginep full krn keburu ga nyaman duluan",0
"AC tidak dingin, lembab, ada kecoak",0
ac bocor anduk sprey lusuh ,0
Beberapa Komponen Mobil Rawan Rusak Usai Hajar Lubang http://otomotif.kompas.com/read/2015/02/25/140000515/Beberapa.Komponen.Mobil.Rawan.Rusak.Usai.Hajar.Lubang ?,0
"Aku pernah begitu berharap kamu kembali, dan pada akhirnya aku harus rela kamu benar-benar pergi.",0
"Entah kapankah itu,menunggu itu lebih baik dari mencari,?? ? Kamu Yang Kutunggu (with Afgan) by Rossa ? https://path.com/p/15tpWQ ",0
#InfoNdoroMoe Ketua DPD PDIP Riau Coret Rekaveny dan Nuryanto dari Calon Wali Kota http://bit.ly/1LmOJ1C  #BlusukanDuniaMaya,0
"Kamar sangan bersih, kamar mandi bersih, peralatan mandinya lengkap. tp kurang puas karna hordeng jendela tidak bisa di tutup rapat sehingga keliatan dari luar, ga dapei air mineral sehingga perlu beli di luar, dan yg parah ga bisa di pake wifi nya. ",0
Cinta itu emang aneh. Contohnya sekarang aku lagi kangenin kamu yang dulu pergi meninggalkan aku begitu saja :'),0
GWRS Ton (with banyak at Kantor Instalasi Rawat Jalan RSSA) ? https://path.com/p/1k0wl9 ,0
"suasananya seperti di rumah nenek, cukup nyaman. Sayangnya channel tvnya jelek dan ada kecoa serta kelabang di kamar mandi. Mgkn sebelum tamu masuk, disemmprot anti serangga dulu.",0
ac sepertinya harus diservice..,0
"Cukup baik, petugasnya cukup ramah. Perlu banyak pembenahan terutama dlm room servicenya, tiap pagi sebaiknya di bersihkan kamarnya walaupun ada orang di dalam kamar. Air minum bila tdk diminta, tdk beri. Dlm 5 hari penginapan, seharusnya snack airy diberi tiap hari bukan? Kebersihan kamar kurang baik. Tapi nyaman disini, nginap dgn harga murah",0
"Dalih Obati Kesurupan, Kepala Sekolah Cabuli Siswi http://dlvr.it/8hlBMS  ",0
"gara2 pengen baju kayak raffi ahmad, muter2 toko sampek gempor danangplenthis #latepost#justshare http://instagram.com/p/zTpWswwmpn/ ",0
"""Pimpinan KPK Usulan SBY Tak Dipilih Jokowi http://kom.ps/AFploc  ""@wahyudi_sudibya: Bersihkan KPK dari Rezim SBY? http://brt.st/4t5j """"",0
Sidang Mahkamah Partai Golkar. Minggu depan mau ambil putusan ,0
AC nya parah. Berisik bersurara. Bikin gak bisa tidur sama sekali. Lokasi nya susah minta ampun ditemukan.,0
Kamar mandinya agak berbau dan wifinya lambat,0
lumayan bagus. Tapi pas kita lagi buru2 mau ke bandara pagi2 eh ternyata pagarnya terkunci dan pemiliknya ga ada di di sekitaran lorong. jadilah kita teriak2 ngetokin kamar 1-1 buat nanyain pemiliknya dimana. fiuh.,0
"tidak ada yang berkesan.. tidak mendapat paket dari airy berupa snack dll, dan tidak disediakan handuk, kamar berdebu",0
tidak disediakan air minum & cemilan didalam kamar.tidak seperti biasanya.,0
perlu pengharum dikamar mandi dan air hangatnya mati.,0
"Kami tak perlu pun , baju bulu binatang yang terseksa . Kejam :'( ",0
"Pelayannya tidak ramah , kalau ada tamu tidak dituntun untuk ke kamarnya . Masa kita bayar tapi mere",0
tolong di tingkatkan kamar mandi nya,0
"fasilitias oke. hanya seprei tdk diganti. ada Better yang bungkusnya spt tergigit tikus, 2 biji di belakang bantal.",0
Gara2 ngarep ada Gigi di The Blusukan gue ketinggalan liat Afgan nyanyi Terima Kasih Cinta acapella version di Trans7. Huasyeeeem! ??,0
Menyenangkan. Hanya saja kamar mandi terlebih toiletnya flashnya rusak dan agak kotor jadi benar - benar tidak bisa digunakan. Ada deposit 50k walau nanti dikembalikan. ,0
seprainya bau ompol.. kolam renangnya kotor.. ,0
#NEWS--> Demokrat Protes Pimpinan KPK Usulan SBY Tak Dipilih Jokowi: Fraksi Partai Demokrat menyesalkan langka... http://bit.ly/1vIWd81 ,0
"Harga mahal, kamar kotor dan AC perlu waktu lama buat dingin. Tidal Ada lift",0
Para penumpang yang terlantar akibat delay parah di Bandara Soekarno Hatta masih berdatangan ke Kantor Lion Ai... http://bit.ly/1vRUg9f ,0
"17.27 : Terjadi perampasan mobil avanza di Taman Yasmin Bogor namun berhasil digagalkan, 1 orang pelaku berhasil di ringkus. | (P. Gustaf)",0
"Pegawai kurang ramah, kurang informatif dan kinerja kurang baik. Kamar sulit untuk sholat",0
"kamar nya bagus banget, nyaman cuman satu yg bikin kecewa dan gak suka yaitu orang yg nunggu / CS nya alias pelayan nya gak ramah sama sekali. cuman ngeliatin kaya org  judes. terus ketawa ketawa bikin tamu gak nyaman. tolong diperbaiki buat CS/ Pelayan mbak mbaknya. terimakasih",0
"Mungkin dia sudah lelah merasakan kejombloannya.? (w/ Annisa, VeGa, & 3 others at Kantor Radar Sidoarjo ) [pic] ? https://path.com/p/3bSjgR ",0
"Saya lihat kamar masih kurang bersih yaa. Di belakang kursi, meja masih ada debu. ",0
"kamarnya cukup nyaman,  namun diharapkan pelayanan service diperbaiki saja,  overall is good",0
pelayan ramah. tapi kebersihan kurang sama wifi jelek air di kamar mandi sering mati,0
RT @VIVA_log: Inilah Bahaya Makan Gorengan Pinggir Jalan http://dlvr.it/8lVkXq  ,0
"Cuma menginap 1 (satu) malam saja, perlu didouble check kebersihan kamar mandi dan toilet, tiba-tiba",0
"00.11: Kecelakaan mobil Honda Brio dgn mobil Honda Accord di Jalan Cikapundung, Kota Bandung, korban sdh dibawa ke Rumah Sakit. | (P. Surya)",0
"Kamar berisik karena jetpump. AC tidak berfungsi dg baik, udara pengap dan panas..",0
Pelayanan lebih baik lagi,0
"Pohon tumbang menimpa mobil depan Popo Danes Hayam wuruk, tolong hubungi DKP Denpasar cc : @BaleBengong ",0
"jiwa memang sih di sekolah, tp gak tau pikiran lagi pergi kemana.",0
TV tidak nyala,0
"PDIP Dinilai Aneh bila Terima Badrodin Kapolri: INILAHCOM, Jakarta - Anggota Komisi III DPR Fraksi Golkar, Bam... http://bit.ly/1Lp73ZP ",0
Kamar standard yang oke. dekat dengan bandara. WIFI tidak bisa,0
Ngapain ngeliatin hp mulu? nungguin kabar dia? Percuma! dia udah ngasih kabar ke oranglain.,0
"Toilet flash-nya bocor, air panas untuk showernya harus menunggu lama, bed nya juga kurang bersih, d",0
"?@VIVAlog_: Tas Hermes Rp1,5 Miliar Dipakai Belanja Sayur oleh Syahrini http://bit.ly/1Lopq11 ? syuting video clip",0
"Bagus, murah, sesuai harga, snack gratis, kamar mandi agak kotor sama gaada gantungan bajunya.",0
Jika Wifi emang tidak ada..  Jgn di buat ada.. Lt 4 ribut..  Mungkin ada keluarga atau apalah.. Kmar gede..  ,0
